PROBEID,ENTREZID
1110,17120864,143
1111,17121380,10134
1112,17009760,222584
1113,16759218,283383
1114,17076009,51669
1115,16652299,NA
1116,16654695,NA
1117,16698234,2331
1118,16811437,3073
1119,17125574,100272228
1120,16674927,23179
1121,17124688,1915
1122,16767052,2799
1123,17117867,NA
1124,17012783,NA
1125,17037670,3105
1126,16908037,2335
1127,16660673,6135
1128,16961037,677767
1129,16951247,23243
1130,16946393,5922
1131,16883647,3554
1132,16834179,10209
1133,16777460,143
1134,16980918,1519
1135,17118329,NA
1136,17121378,10134
1137,16696504,60674
1138,16696504,106635533
1139,16869291,26810
1140,17115971,105373291
1141,16880122,6711
1142,16995835,NA
1143,16970074,677809
1144,17118690,677838
1145,17118690,85028
1146,16871467,126393
1147,16752007,NA
1148,16951140,100302277
1149,16951140,100302204
1150,16951140,100302186
1151,16832566,26809
1152,16700888,4811
1153,16825463,NA
1154,16825533,NA
1155,16825751,NA
1156,16729217,NA
1157,17017188,NA
1158,16676764,1604
1159,16873645,100170220
1160,16873645,100170218
1161,16873645,100170219
1162,16873645,100170223
1163,16873645,100170225
1164,16873645,100170226
1165,16873645,100170217
1166,16873645,100170224
1167,16873645,4162
1168,17119138,100170218
1169,17119138,100170219
1170,17119138,100170223
1171,17119138,100170225
1172,17119138,100170226
1173,17119138,100170217
1174,17119138,100170224
1175,17119138,100170220
1176,17119138,4162
1177,17119142,100170218
1178,17119142,100170219
1179,17119142,100170223
1180,17119142,100170225
1181,17119142,100170226
1182,17119142,100170217
1183,17119142,100170224
1184,17119142,100170220
1185,17119142,4162
1186,16727217,NA
1187,17095334,NA
1188,17118277,6171
1189,17118792,693197
1190,17118792,283131
1191,16862439,558
1192,17109326,57393
1193,16809913,NA
1194,16743338,79101
1195,16819450,89970
1196,16975345,23244
1197,17094496,100302167
1198,16809457,4644
1199,16828525,NA
1200,17118930,692215
1201,16847824,NA
1202,16792859,5836
1203,16848721,10476
1204,17119106,NA
1205,16659505,NA
1206,17032027,1192
1207,16798206,100033431
1208,16798206,692236
1209,16867915,3643
1210,17022996,6098
1211,17124130,54205
1212,16869350,1777
1213,17123388,3146
1214,17123388,140690
1215,16993412,NA
1216,17019805,27242
1217,16764704,NA
1218,17034497,1192
1219,17120902,NA
1220,16722400,NA
1221,16889734,NA
1222,17125566,NA
1223,16975310,7358
1224,16876667,NA
1225,16847820,1655
1226,16847820,100616387
1227,16658655,80176
1228,16934239,NA
1229,16949873,NA
1230,16669481,NA
1231,16691852,NA
1232,17101025,NA
1233,16805190,NA
1234,16735816,NA
1235,17122058,6134
1236,17039299,3106
1237,16653119,NA
1238,17123766,101928509
1239,16850896,57045
1240,16734313,1509
1241,17123306,5627
1242,16655313,NA
1243,17000520,26785
1244,16987773,NA
1245,16889704,NA
1246,16902064,80255
1247,16758618,NA
1248,16651933,NA
1249,16652597,NA
1250,16805594,4205
1251,16651623,NA
1252,17125568,NA
1253,16769207,51019
1254,17032882,3105
1255,16905371,80856
1256,16810884,NA
1257,16887179,253782
1258,17046524,NA
1259,16693645,NA
1260,17050591,4233
1261,16800680,58472
1262,17044427,NA
1263,16652995,NA
1264,17019208,55173
1265,17068541,7419
1266,16975306,NA
1267,17075731,1191
1268,17075731,102465508
1269,16659251,55187
1270,16935798,80274
1271,17085760,256691
1272,16769159,79158
1273,16855177,NA
1274,16693643,NA
1275,16779958,1910
1276,16680258,54587
1277,16882142,9168
1278,16816895,NA
1279,16824899,NA
1280,16824980,NA
1281,17072162,7373
1282,17072162,105375730
1283,16794257,NA
1284,16716983,56889
1285,16999584,NA
1286,16800105,NA
1287,16855172,NA
1288,17059628,1595
1289,16676893,4179
1290,16758615,NA
1291,16788661,767591
1292,16651577,NA
1293,16771466,NA
1294,16684080,2537
1295,16748205,29121
1296,16651821,NA
1297,16716507,5507
1298,16725908,692158
1299,16725908,751071
1300,17126192,692087
1301,16739208,2495
1302,16706257,NA
1303,16955994,151647
1304,17123308,5627
1305,17065933,NA
1306,16656639,NA
1307,16693272,6281
1308,17063480,64761
1309,17120870,143
1310,16887589,79901
1311,17089113,105376272
1312,16900800,NA
1313,16815704,NA
1314,17059771,54809
1315,16818927,80205
1316,17027443,3133
1317,17030288,3133
1318,17037774,3133
1319,17040488,3133
1320,16852369,NA
1321,16977251,118429
1322,16838101,677849
1323,16737102,100190939
1324,16656569,NA
1325,17120888,374491
1326,16883690,9173
1327,16769738,NA
1328,16977094,950
1329,16900453,NA
1330,16702767,7431
1331,16815711,NA
1332,17061881,9732
1333,16830573,652965
1334,16830573,1973
1335,16947026,344752
1336,16983373,54491
1337,16938724,25827
1338,16847832,NA
1339,16788574,767562
1340,16914745,692057
1341,16934340,NA
1342,17024374,2519
1343,17046545,NA
1344,16733435,334
1345,17044007,NA
1346,17098411,3309
1347,17012313,135112
1348,16816174,NA
1349,16816369,NA
1350,16824125,NA
1351,16824347,NA
1352,16654613,NA
1353,17112316,84061
1354,16906534,6772
1355,16968735,55008
1356,16970801,NA
1357,16861380,826
1358,16861997,7538
1359,16992463,NA
1360,17009233,NA
1361,16674151,60676
1362,16993397,821
1363,17013784,79624
1364,16660906,23585
1365,17117613,55608
1366,17117613,100505494
1367,16682989,1889
1368,17126186,6122
1369,16849556,7077
1370,16856803,4616
1371,16768541,NA
1372,16855180,100124516
1373,16855181,NA
1374,16951795,NA
1375,16834091,3487
1376,16775498,104326189
1377,16790469,NA
1378,17005564,8334
1379,16655009,NA
1380,16996969,653188
1381,16996969,107984064
1382,17045303,83930
1383,16808974,9318
1384,16992314,NA
1385,16889717,NA
1386,16712272,100507347
1387,17006261,3133
1388,17032993,3133
1389,17035115,3133
1390,16938562,7048
1391,16896442,5610
1392,16861193,55851
1393,17125550,55669
1394,17028326,3117
1395,17012125,NA
1396,16675301,5996
1397,17092742,NA
1398,16946173,83850
1399,17030188,3105
1400,17041800,3106
1401,16653503,NA
1402,16678317,NA
1403,17116977,7404
1404,16771555,NA
1405,16894361,10971
1406,16881031,84168
1407,16983765,4883
1408,16857916,NA
1409,16659501,23254
1410,16731068,143903
1411,16856760,NA
1412,16685702,677834
1413,16819064,4313
1414,16885317,NA
1415,16839489,NA
1416,16885078,NA
1417,16707452,NA
1418,17068349,56892
1419,17034254,3106
1420,16655989,NA
1421,17102129,6303
1422,17018387,NA
1423,16755530,NA
1424,16894359,NA
1425,16954063,NA
1426,16839506,NA
1427,16780893,100874375
1428,16946513,7220
1429,17110315,4693
1430,16670401,8338
1431,16793096,80821
1432,16767306,100507195
1433,16847838,NA
1434,16786475,51077
1435,17019516,55168
1436,16971429,NA
1437,16966809,5156
1438,16989380,79770
1439,17057422,677798
1440,17057422,285958
1441,16780909,100885782
1442,16886919,10213
1443,16873997,NA
1444,16770449,NA
1445,16651237,NA
1446,16954057,NA
1447,16788691,767605
1448,17121622,3965
1449,17060287,1577
1450,16721732,677826
1451,16786587,2353
1452,16778392,2308
1453,16771497,NA
1454,17011593,9896
1455,16842266,4239
1456,16654067,NA
1457,17024172,100130476
1458,16970404,2247
1459,16656813,NA
1460,17012262,154214
1461,16966725,NA
1462,16861392,NA
1463,17071440,NA
1464,16877172,9687
1465,16653853,NA
1466,16986913,1462
1467,17121624,3965
1468,17022333,28962
1469,17063536,84255
1470,16686980,NA
1471,16654655,NA
1472,16824572,51704
1473,16939558,1499
1474,16653827,NA
1475,16664445,51727
1476,16861389,NA
1477,16813038,4240
1478,16850923,11031
1479,16904270,439921
1480,16985518,5295
1481,16671874,23208
